input_state,alice_bits,branch_probability,fidelity
49,10,0.24999999999999994,1.0000000000000004
49,11,0.24999999999999994,1.0000000000000004
50,00,0.24999999999999997,1.0000000000000009
50,01,0.24999999999999997,1.0000000000000009
50,10,0.24999999999999997,1.0000000000000009
50,11,0.24999999999999997,1.0000000000000009
51,00,0.24999999999999994,1.0000000000000004
51,01,0.24999999999999994,1.0000000000000004
51,10,0.24999999999999994,1.0000000000000004
51,11,0.24999999999999994,1.0000000000000004
52,00,0.24999999999999994,1.0
52,01,0.2499999999999999,1.0
52,10,0.24999999999999994,1.0
52,11,0.2499999999999999,1.0
53,00,0.24999999999999986,1.0
53,01,0.24999999999999986,1.0
53,10,0.24999999999999986,1.0
53,11,0.24999999999999986,1.0
54,00,0.24999999999999997,1.0000000000000004
54,01,0.24999999999999997,1.0000000000000004
54,10,0.24999999999999997,1.0000000000000004
54,11,0.24999999999999997,1.0000000000000004
55,00,0.24999999999999994,1.0000000000000004
55,01,0.24999999999999994,1.0000000000000004
55,10,0.24999999999999994,1.0000000000000004
55,11,0.24999999999999994,1.0000000000000004
56,00,0.25,1.0
56,01,0.25,1.0
56,10,0.25,1.0
56,11,0.25,1.0
57,00,0.24999999999999986,1.0000000000000004
57,01,0.2499999999999999,0.9999999999999998
57,10,0.24999999999999986,1.0000000000000004
57,11,0.2499999999999999,0.9999999999999998
58,00,0.24999999999999994,1.0000000000000004
58,01,0.24999999999999994,1.0000000000000004
58,10,0.24999999999999994,1.0000000000000004
58,11,0.24999999999999994,1.0000000000000004
59,00,0.2499999999999999,1.0
59,01,0.2499999999999999,1.0
59,10,0.2499999999999999,1.0
59,11,0.2499999999999999,1.0
60,00,0.24999999999999986,1.0
60,01,0.24999999999999986,1.0
60,10,0.24999999999999986,1.0
60,11,0.24999999999999986,1.0
61,00,0.24999999999999997,1.0000000000000009
61,01,0.24999999999999997,1.0000000000000009
61,10,0.24999999999999997,1.0000000000000009
61,11,0.24999999999999997,1.0000000000000009
62,00,0.24999999999999994,1.0
62,01,0.2499999999999999,1.0
62,10,0.24999999999999994,1.0
62,11,0.2499999999999999,1.0
63,00,0.24999999999999994,1.0000000000000004
63,01,0.24999999999999994,1.0000000000000004
63,10,0.24999999999999994,1.0000000000000004
63,11,0.24999999999999994,1.0000000000000004
64,00,0.24999999999999994,1.0
64,01,0.24999999999999994,1.0
64,10,0.24999999999999994,1.0
64,11,0.24999999999999994,1.0
65,00,0.24999999999999983,1.0
65,01,0.24999999999999983,1.0
65,10,0.24999999999999983,1.0
65,11,0.24999999999999983,1.0
66,00,0.24999999999999997,1.0000000000000009
66,01,0.24999999999999997,1.0000000000000009
66,10,0.24999999999999997,1.0000000000000009
66,11,0.24999999999999997,1.0000000000000009
67,00,0.24999999999999986,1.0
67,01,0.2499999999999999,0.9999999999999998
67,10,0.24999999999999986,1.0
67,11,0.2499999999999999,0.9999999999999998
68,00,0.24999999999999994,1.0000000000000004
68,01,0.24999999999999994,1.0000000000000004
68,10,0.24999999999999994,1.0000000000000004
68,11,0.24999999999999994,1.0000000000000004
69,00,0.24999999999999986,1.0
69,01,0.2499999999999999,0.9999999999999996
69,10,0.24999999999999986,1.0
69,11,0.2499999999999999,0.9999999999999996
70,00,0.2499999999999999,1.0
70,01,0.2499999999999999,1.0
70,10,0.2499999999999999,1.0
70,11,0.2499999999999999,1.0
71,00,0.2499999999999998,0.9999999999999998
